#format table ## [Custom WaveView] saved 16:21:43 Mon Jan 15 2024
TIME ,x_ssad.v(b5) ,x_ssad.v(b4) ,x_ssad.v(b3) ,x_ssad.v(b2) ,x_ssad.v(b1) ,x_ssad.v(b0) 
 8.000E-05 , 1.779E+00 , 1.779E+00 , 1.866E+00 , 8.234E-04 , 1.866E+00 , 8.234E-04 
 1.300E-04 , 1.735E-02 , 1.735E-02 , 1.735E-02 , 1.736E+00 , 1.842E+00 , 1.735E-02 
 1.800E-04 , 1.779E+00 , 1.779E+00 , 1.866E+00 , 8.239E-04 , 8.239E-04 , 1.866E+00 
 2.300E-04 , 1.735E-02 , 1.735E-02 , 1.735E-02 , 1.736E+00 , 1.842E+00 , 1.735E-02 
 2.800E-04 , 1.779E+00 , 1.779E+00 , 1.866E+00 , 8.244E-04 , 1.866E+00 , 8.244E-04 
 3.300E-04 , 1.736E-02 , 1.736E-02 , 1.736E-02 , 1.736E+00 , 1.842E+00 , 1.736E-02 
 3.800E-04 , 1.779E+00 , 1.779E+00 , 1.866E+00 , 8.249E-04 , 8.249E-04 , 1.866E+00 
 4.300E-04 , 1.736E-02 , 1.736E-02 , 1.736E-02 , 1.736E+00 , 1.842E+00 , 1.736E-02 
 4.800E-04 , 1.779E+00 , 1.779E+00 , 1.866E+00 , 8.254E-04 , 1.866E+00 , 8.254E-04 
 5.300E-04 , 1.600E-02 , 1.600E-02 , 1.600E-02 , 1.843E+00 , 1.600E-02 , 1.843E+00 
 5.800E-04 , 1.803E+00 , 1.803E+00 , 1.880E+00 , 5.576E-05 , 1.803E+00 , 1.880E+00 
 6.300E-04 , 1.600E-02 , 1.600E-02 , 1.600E-02 , 1.843E+00 , 1.600E-02 , 1.843E+00 
 6.800E-04 , 1.779E+00 , 1.779E+00 , 1.866E+00 , 8.264E-04 , 1.866E+00 , 8.264E-04 
 7.300E-04 , 1.600E-02 , 1.600E-02 , 1.600E-02 , 1.843E+00 , 1.600E-02 , 1.843E+00 
 7.800E-04 , 1.803E+00 , 1.803E+00 , 1.880E+00 , 5.583E-05 , 1.803E+00 , 1.880E+00 
 8.300E-04 , 1.601E-02 , 1.601E-02 , 1.601E-02 , 1.843E+00 , 1.601E-02 , 1.843E+00 
 8.800E-04 , 1.779E+00 , 1.779E+00 , 1.866E+00 , 8.276E-04 , 1.866E+00 , 8.276E-04 
 9.300E-04 , 1.601E-02 , 1.601E-02 , 1.601E-02 , 1.843E+00 , 1.601E-02 , 1.843E+00 
 9.800E-04 , 1.803E+00 , 1.803E+00 , 1.880E+00 , 5.590E-05 , 1.803E+00 , 1.880E+00 
 1.030E-03 , 3.500E-02 , 3.500E-02 , 3.500E-02 , 1.831E+00 , 3.500E-02 , 3.500E-02 
 1.080E-03 , 1.777E+00 , 1.777E+00 , 1.777E+00 , 1.865E+00 , 1.008E-03 , 1.008E-03 
 1.130E-03 , 3.500E-02 , 3.500E-02 , 3.500E-02 , 1.831E+00 , 3.500E-02 , 3.500E-02 
 1.180E-03 , 1.803E+00 , 1.803E+00 , 1.880E+00 , 5.597E-05 , 1.803E+00 , 1.880E+00 
 1.230E-03 , 3.501E-02 , 3.501E-02 , 3.501E-02 , 1.831E+00 , 3.501E-02 , 3.501E-02 
 1.280E-03 , 1.777E+00 , 1.777E+00 , 1.777E+00 , 1.865E+00 , 1.009E-03 , 1.009E-03 
 1.330E-03 , 3.502E-02 , 3.502E-02 , 3.502E-02 , 1.831E+00 , 3.502E-02 , 3.502E-02 
 1.380E-03 , 1.803E+00 , 1.803E+00 , 1.880E+00 , 5.603E-05 , 1.803E+00 , 1.880E+00 
 1.430E-03 , 3.502E-02 , 3.502E-02 , 3.502E-02 , 1.831E+00 , 3.502E-02 , 3.502E-02 
 1.480E-03 , 1.777E+00 , 1.777E+00 , 1.777E+00 , 1.865E+00 , 1.010E-03 , 1.010E-03 
 1.530E-03 , 1.741E-02 , 1.741E-02 , 1.741E-02 , 1.741E-02 , 1.735E+00 , 1.842E+00 
 1.580E-03 , 1.803E+00 , 1.803E+00 , 1.803E+00 , 1.880E+00 , 5.612E-05 , 1.880E+00 
 1.630E-03 , 3.503E-02 , 3.503E-02 , 3.503E-02 , 1.831E+00 , 3.503E-02 , 3.503E-02 
 1.680E-03 , 1.777E+00 , 1.777E+00 , 1.777E+00 , 1.865E+00 , 1.011E-03 , 1.011E-03 
 1.730E-03 , 1.742E-02 , 1.742E-02 , 1.742E-02 , 1.742E-02 , 1.735E+00 , 1.842E+00 
 1.780E-03 , 1.803E+00 , 1.803E+00 , 1.803E+00 , 1.880E+00 , 5.621E-05 , 1.880E+00 
 1.830E-03 , 1.742E-02 , 1.742E-02 , 1.742E-02 , 1.742E-02 , 1.735E+00 , 1.842E+00 
 1.880E-03 , 1.777E+00 , 1.777E+00 , 1.777E+00 , 1.865E+00 , 1.013E-03 , 1.013E-03 
 1.930E-03 , 1.743E-02 , 1.743E-02 , 1.743E-02 , 1.743E-02 , 1.735E+00 , 1.842E+00 
 1.980E-03 , 1.803E+00 , 1.803E+00 , 1.803E+00 , 1.880E+00 , 5.629E-05 , 1.880E+00 
 2.030E-03 , 1.743E-02 , 1.743E-02 , 1.743E-02 , 1.743E-02 , 1.735E+00 , 1.842E+00 
 2.080E-03 , 1.803E+00 , 1.803E+00 , 1.803E+00 , 1.880E+00 , 5.633E-05 , 1.880E+00 
 2.130E-03 , 1.744E-02 , 1.744E-02 , 1.744E-02 , 1.744E-02 , 1.735E+00 , 1.842E+00 
 2.180E-03 , 1.803E+00 , 1.803E+00 , 1.803E+00 , 1.880E+00 , 5.636E-05 , 1.880E+00 
 2.230E-03 , 3.507E-02 , 3.507E-02 , 3.507E-02 , 3.507E-02 , 1.831E+00 , 3.507E-02 
 2.280E-03 , 1.803E+00 , 1.803E+00 , 1.803E+00 , 1.880E+00 , 5.640E-05 , 1.880E+00 
 2.330E-03 , 1.744E-02 , 1.744E-02 , 1.744E-02 , 1.744E-02 , 1.735E+00 , 1.842E+00 
 2.380E-03 , 1.803E+00 , 1.803E+00 , 1.803E+00 , 1.880E+00 , 5.644E-05 , 1.880E+00 
 2.430E-03 , 1.745E-02 , 1.745E-02 , 1.745E-02 , 1.745E-02 , 1.735E+00 , 1.842E+00 
 2.480E-03 , 1.803E+00 , 1.803E+00 , 1.803E+00 , 1.880E+00 , 5.647E-05 , 1.880E+00 
 2.530E-03 , 3.509E-02 , 3.509E-02 , 3.509E-02 , 3.509E-02 , 1.831E+00 , 3.509E-02 
 2.580E-03 , 1.802E+00 , 1.802E+00 , 1.802E+00 , 1.802E+00 , 1.879E+00 , 6.801E-05 
 2.630E-03 , 3.510E-02 , 3.510E-02 , 3.510E-02 , 3.510E-02 , 1.831E+00 , 3.510E-02 
 2.680E-03 , 1.803E+00 , 1.803E+00 , 1.803E+00 , 1.880E+00 , 5.655E-05 , 1.880E+00 
 2.730E-03 , 3.510E-02 , 3.510E-02 , 3.510E-02 , 3.510E-02 , 1.831E+00 , 3.510E-02 
 2.780E-03 , 1.802E+00 , 1.802E+00 , 1.802E+00 , 1.802E+00 , 1.879E+00 , 6.811E-05 
 2.830E-03 , 3.511E-02 , 3.511E-02 , 3.511E-02 , 3.511E-02 , 1.831E+00 , 3.511E-02 
 2.880E-03 , 1.802E+00 , 1.802E+00 , 1.802E+00 , 1.802E+00 , 1.879E+00 , 6.816E-05 
 2.930E-03 , 3.511E-02 , 3.511E-02 , 3.511E-02 , 3.511E-02 , 1.831E+00 , 3.511E-02 
 2.980E-03 , 1.802E+00 , 1.802E+00 , 1.802E+00 , 1.802E+00 , 1.879E+00 , 6.823E-05 
 3.030E-03 , 3.512E-02 , 3.512E-02 , 3.512E-02 , 3.512E-02 , 1.831E+00 , 3.512E-02 
 3.080E-03 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.893E+00 
 3.130E-03 , 3.513E-02 , 3.513E-02 , 3.513E-02 , 3.513E-02 , 1.831E+00 , 3.513E-02 
 3.180E-03 , 1.802E+00 , 1.802E+00 , 1.802E+00 , 1.802E+00 , 1.879E+00 , 6.833E-05 
 3.230E-03 , 3.513E-02 , 3.513E-02 , 3.513E-02 , 3.513E-02 , 3.513E-02 , 1.831E+00 
 3.280E-03 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.893E+00 
 3.330E-03 , 3.514E-02 , 3.514E-02 , 3.514E-02 , 3.514E-02 , 1.831E+00 , 3.514E-02 
 3.380E-03 , 1.802E+00 , 1.802E+00 , 1.802E+00 , 1.802E+00 , 1.879E+00 , 6.841E-05 
 3.430E-03 , 3.514E-02 , 3.514E-02 , 3.514E-02 , 3.514E-02 , 1.831E+00 , 3.514E-02 
 3.480E-03 , 1.802E+00 , 1.802E+00 , 1.802E+00 , 1.802E+00 , 1.879E+00 , 6.848E-05 
 3.530E-03 , 3.515E-02 , 3.515E-02 , 3.515E-02 , 3.515E-02 , 3.515E-02 , 1.831E+00 
 3.580E-03 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.893E+00 
 3.630E-03 , 3.515E-02 , 3.515E-02 , 3.515E-02 , 3.515E-02 , 1.831E+00 , 3.515E-02 
 3.680E-03 , 1.802E+00 , 1.802E+00 , 1.802E+00 , 1.802E+00 , 1.879E+00 , 6.855E-05 
 3.730E-03 , 3.516E-02 , 3.516E-02 , 3.516E-02 , 3.516E-02 , 3.516E-02 , 1.831E+00 
 3.780E-03 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.893E+00 
 3.830E-03 , 3.516E-02 , 3.516E-02 , 3.516E-02 , 3.516E-02 , 3.516E-02 , 1.831E+00 
 3.880E-03 , 1.802E+00 , 1.802E+00 , 1.802E+00 , 1.802E+00 , 1.879E+00 , 6.863E-05 
 3.930E-03 , 3.517E-02 , 3.517E-02 , 3.517E-02 , 3.517E-02 , 1.831E+00 , 3.517E-02 
 3.980E-03 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.893E+00 
 4.030E-03 , 3.518E-02 , 3.518E-02 , 3.518E-02 , 3.518E-02 , 3.518E-02 , 1.831E+00 
 4.080E-03 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.893E+00 
 4.130E-03 , 3.518E-02 , 3.518E-02 , 3.518E-02 , 3.518E-02 , 3.518E-02 , 1.831E+00 
 4.180E-03 , 1.801E+00 , 1.801E+00 , 1.801E+00 , 1.801E+00 , 1.879E+00 , 6.878E-05 
 4.230E-03 , 3.519E-02 , 3.519E-02 , 3.519E-02 , 3.519E-02 , 3.519E-02 , 1.831E+00 
 4.280E-03 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.893E+00 
 4.330E-03 , 3.519E-02 , 3.519E-02 , 3.519E-02 , 3.519E-02 , 3.519E-02 , 1.831E+00 
 4.380E-03 , 1.801E+00 , 1.801E+00 , 1.801E+00 , 1.801E+00 , 1.879E+00 , 6.886E-05 
 4.430E-03 , 3.520E-02 , 3.520E-02 , 3.520E-02 , 3.520E-02 , 3.520E-02 , 1.831E+00 
 4.480E-03 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.893E+00 
 4.530E-03 , 3.520E-02 , 3.520E-02 , 3.520E-02 , 3.520E-02 , 3.520E-02 , 1.831E+00 
 4.580E-03 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.893E+00 
 4.630E-03 , 3.521E-02 , 3.521E-02 , 3.521E-02 , 3.521E-02 , 3.521E-02 , 1.831E+00 
 4.680E-03 , 1.801E+00 , 1.801E+00 , 1.801E+00 , 1.801E+00 , 1.879E+00 , 6.902E-05 
 4.730E-03 , 3.521E-02 , 3.521E-02 , 3.521E-02 , 3.521E-02 , 3.521E-02 , 1.831E+00 
 4.780E-03 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.893E+00 
 4.830E-03 , 3.522E-02 , 3.522E-02 , 3.522E-02 , 3.522E-02 , 3.522E-02 , 1.831E+00 
 4.880E-03 , 1.801E+00 , 1.801E+00 , 1.801E+00 , 1.801E+00 , 1.879E+00 , 6.908E-05 
 4.930E-03 , 3.522E-02 , 3.522E-02 , 3.522E-02 , 3.522E-02 , 3.522E-02 , 1.831E+00 
 4.980E-03 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.893E+00 
 5.030E-03 , 3.523E-02 , 3.523E-02 , 3.523E-02 , 3.523E-02 , 3.523E-02 , 1.831E+00 
 5.080E-03 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.893E+00 
 5.130E-03 , 3.524E-02 , 3.524E-02 , 3.524E-02 , 3.524E-02 , 3.524E-02 , 1.831E+00 
 5.180E-03 , 1.801E+00 , 1.801E+00 , 1.801E+00 , 1.801E+00 , 1.879E+00 , 6.924E-05 
 5.230E-03 , 3.524E-02 , 3.524E-02 , 3.524E-02 , 3.524E-02 , 3.524E-02 , 1.831E+00 
 5.280E-03 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.893E+00 
 5.330E-03 , 3.525E-02 , 3.525E-02 , 3.525E-02 , 3.525E-02 , 3.525E-02 , 1.831E+00 
 5.380E-03 , 1.801E+00 , 1.801E+00 , 1.801E+00 , 1.801E+00 , 1.879E+00 , 6.932E-05 
 5.430E-03 , 3.525E-02 , 3.525E-02 , 3.525E-02 , 3.525E-02 , 3.525E-02 , 1.831E+00 
 5.480E-03 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.893E+00 
